iter	Passed	Remaining
402	10286	40761
403	10310	40732
404	10337	40713
405	10364	40691
406	10389	40662
407	10413	40631
408	10435	40594
409	10460	40564
410	10478	40511
411	10502	40479
412	10526	40450
413	10552	40425
414	10571	40375
415	10596	40347
416	10620	40317
417	10640	40271
418	10663	40236
419	10684	40194
420	10709	40166
421	10730	40126
422	10753	40091
423	10778	40064
424	10803	40036
425	10832	40024
426	10860	40010
427	10885	39979
428	10911	39958
429	10936	39931
430	10962	39906
431	10988	39884
432	11013	39856
433	11039	39832
434	11064	39807
435	11090	39782
436	11113	39747
437	11138	39720
438	11164	39699
439	11191	39678
440	11216	39653
441	11241	39625
442	11266	39598
443	11292	39573
444	11317	39549
445	11342	39522
446	11365	39486
447	11391	39462
448	11416	39435
449	11439	39402
450	11464	39377
451	11487	39341
452	11512	39314
453	11534	39279
454	11559	39252
455	11585	39226
456	11608	39194
457	11632	39165
458	11655	39129
459	11677	39094
460	11702	39066
461	11726	39037
462	11751	39010
463	11774	38979
464	11798	38949
465	11825	38927
466	11849	38897
467	11873	38867
468	11897	38839
469	11918	38799
470	11942	38767
471	11966	38738
472	11987	38701
473	12011	38670
474	12038	38650
475	12062	38621
476	12091	38606
477	12117	38583
478	12143	38558
479	12166	38528
480	12189	38494
481	12213	38463
482	12235	38429
483	12256	38391
484	12282	38366
485	12307	38340
486	12331	38309
487	12355	38282
488	12380	38256
489	12403	38222
490	12425	38186
491	12446	38149
492	12471	38121
493	12495	38093
494	12518	38059
495	12543	38036
496	12567	38007
497	12592	37979
498	12617	37954
499	12639	37918
500	12661	37882
501	12687	37860
502	12713	37836
503	12738	37812
504	12762	37782
505	12787	37757
506	12812	37729
507	12837	37703
508	12862	37678
509	12890	37661
510	12918	37644
511	12943	37618
512	12969	37592
513	12990	37556
514	13012	37522
515	13038	37498
516	13061	37465
517	13084	37435
518	13107	37401
519	13131	37374
520	13155	37345
521	13177	37310
522	13204	37290
523	13224	37250
524	13249	37224
525	13274	37199
526	13298	37168
527	13323	37143
528	13347	37116
529	13373	37092
530	13396	37061
531	13418	37027
532	13441	36996
533	13465	36966
534	13490	36941
535	13516	36918
536	13543	36898
537	13568	36873
538	13594	36849
539	13618	36819
540	13644	36797
541	13669	36771
542	13695	36747
543	13720	36723
544	13743	36691
545	13768	36666
546	13794	36641
547	13817	36610
548	13840	36579
549	13863	36549
550	13886	36519
551	13912	36495
552	13936	36467
553	13963	36447
554	13988	36420
555	14012	36392
556	14037	36366
557	14062	36341
558	14088	36316
559	14112	36289
560	14138	36265
561	14160	36233
562	14181	36196
563	14204	36165
564	14225	36129
565	14249	36102
566	14277	36083
567	14304	36063
568	14326	36030
569	14345	35990
570	14371	35965
571	14395	35938
572	14417	35906
573	14444	35885
574	14468	35857
575	14487	35815
576	14510	35785
577	14531	35750
578	14555	35722
579	14580	35697
580	14602	35664
581	14623	35630
582	14646	35599
583	14666	35562
584	14690	35532
585	14715	35507
586	14741	35485
587	14766	35460
588	14791	35433
589	14813	35400
590	14834	35365
591	14858	35339
592	14882	35312
