iter	F1	Logloss
0	0.9162217388	0.5659273567
1	0.9229139874	0.4748835175
2	0.9240512312	0.4051508403
3	0.9320696614	0.3544771119
4	0.9366561222	0.3101023028
5	0.9378289887	0.2752427585
6	0.9378772223	0.2554450754
7	0.9390777191	0.2416655154
8	0.940059622	0.2279307422
9	0.9405047787	0.2176458734
10	0.9402121504	0.2070037608
11	0.9412649151	0.2002743781
12	0.9415434381	0.1943894733
13	0.9434905497	0.1886401996
14	0.9450365364	0.1807668475
15	0.9446000173	0.1771495171
16	0.9456860407	0.1721574887
17	0.9458211482	0.1676711391
18	0.9469868164	0.1634417778
19	0.946932182	0.1606742214
20	0.9472155709	0.1586182084
21	0.9476942004	0.1559317475
22	0.9479137631	0.1538377011
23	0.9484647016	0.1518133859
24	0.948667467	0.1503294453
25	0.9490469138	0.148733054
26	0.9495976851	0.1472851191
27	0.9503671524	0.1460197186
28	0.9504402322	0.144916675
29	0.9503659322	0.1440083249
30	0.9505860633	0.1427078107
31	0.9509615385	0.1417987314
32	0.9520053862	0.1395615486
33	0.9520970177	0.1387366644
34	0.9522710443	0.1376801647
35	0.952399284	0.1371218249
36	0.9521884355	0.1364674527
37	0.9523626215	0.1356130788
38	0.9525918082	0.1349350992
39	0.9528759529	0.1341176165
40	0.9532879295	0.1333679834
41	0.9534163283	0.1327050566
42	0.9539375643	0.1319209165
43	0.9541298517	0.1309947611
44	0.9548439197	0.1298504268
45	0.9547801506	0.1294360523
46	0.9550540198	0.1287267132
47	0.9557403047	0.1276704842
48	0.9562602673	0.1272319102
49	0.9565250802	0.1263203834
50	0.9565534867	0.1256125798
51	0.9564991784	0.1252363509
52	0.9564724313	0.1247036399
53	0.9566278723	0.1243116231
54	0.9567005554	0.1236989391
55	0.9566821694	0.1232369449
56	0.9569920363	0.1228412803
57	0.9572291645	0.12225201
58	0.9571318724	0.121941351
59	0.9574130825	0.1213503791
60	0.9574866695	0.1207471148
61	0.9581436447	0.1202900973
62	0.958180456	0.1199417811
63	0.9583265302	0.119312939
64	0.9583989552	0.1189042082
65	0.9585002065	0.1182842009
66	0.9584369927	0.1180060515
67	0.9586751455	0.1177913115
68	0.958638311	0.1173648003
69	0.9586316245	0.1168754944
70	0.9587790368	0.1161860751
71	0.9587329656	0.1158912231
72	0.958823812	0.1156953462
73	0.9589330669	0.1155006943
74	0.9591344537	0.11495111
75	0.9592436733	0.1148978797
76	0.9592883629	0.114743642
77	0.9594897067	0.1143593202
78	0.9594712725	0.114066357
79	0.9596449602	0.1136312286
80	0.9598632334	0.1130642651
81	0.9598540146	0.1128015449
82	0.9601536246	0.1120744616
83	0.9605804947	0.1117783193
84	0.9610088001	0.111353391
85	0.9609459732	0.1107286338
86	0.9608093451	0.1105670158
87	0.9610918095	0.110288175
88	0.9612911893	0.1100122808
89	0.9614111189	0.1097803382
90	0.961510781	0.1095303739
91	0.9618096526	0.1092391765
92	0.9618557888	0.1090828756
93	0.9619738306	0.1088198239
94	0.9622856924	0.1083943608
95	0.9621768916	0.1081635653
96	0.9621050005	0.1079964788
97	0.9623503224	0.1075641645
98	0.9624334309	0.1071590353
99	0.9626602195	0.1069018134
100	0.9625976319	0.1068164583
101	0.9626345788	0.1064697689
102	0.9628080141	0.106132546
103	0.9628243872	0.1057966182
104	0.9629444839	0.1055891853
105	0.9630923363	0.1052164106
106	0.9631293065	0.1051187066
107	0.9631200637	0.1051068536
108	0.9633097943	0.1048592923
109	0.9634669456	0.1044453016
110	0.9633767131	0.1042945401
111	0.9635686591	0.1036989277
112	0.9637236084	0.1034106978
113	0.9638322986	0.1031356441
114	0.9640427227	0.1024845814
115	0.9640704771	0.102476831
116	0.9642624084	0.1021040886
117	0.9641468683	0.101783438
118	0.964345698	0.1014193751
119	0.964345698	0.1012831653
120	0.9644635951	0.1009572717
121	0.9644913628	0.1008352389
122	0.9647363623	0.1006614701
123	0.9647481117	0.100456521
124	0.96489376	0.1001760722
125	0.9650368437	0.100073755
126	0.9652657839	0.09951468362
127	0.965321358	0.09923054215
128	0.9655318006	0.09914726912
129	0.9657673562	0.09883071114
130	0.9654973847	0.09841211376
131	0.9656205298	0.09813244525
132	0.9659090909	0.09793959318
133	0.9657912923	0.0978133758
134	0.9659183615	0.0977084889
135	0.9659183615	0.09749941096
136	0.9660268714	0.09729502501
137	0.965803268	0.09714958123
138	0.9661780095	0.09693720858
139	0.9665127797	0.09661768828
140	0.9666740234	0.09626063962
141	0.9666212403	0.09595295083
142	0.9667204053	0.09580474054
143	0.966865938	0.09546391832
144	0.9671539849	0.09519514267
145	0.9672003761	0.09498941035
146	0.9675562633	0.09475643669
147	0.9674108042	0.09455843556
148	0.9675469816	0.0944218762
